case,parameter,estimate
cf_basic_K2_delay6,log_cell1_0,-2.2197649851854084
cf_basic_K2_delay6,log_cell2_0,-1.8266096388167075
cf_basic_K2_delay6,treatment_0,-0.3356885974225981
cf_basic_K2_delay6,FEV10_0,-0.20270349611516292
cf_basic_K2_delay6,log_cell1_1,0.7318259027904233
cf_basic_K2_delay6,log_cell2_1,0.9575818135215151
cf_basic_K2_delay6,treatment_1,0.04411864923484342
cf_basic_K2_delay6,FEV10_1,0.06055252499619276
cf_basic_K2_delay6,nu0,1.5923764260262472
cf_basic_K2_delay6,nu1,0.005929202103733599
cf_basic_K2_delay6,theta,-0.0971674927901848
cf_basic_K4_delay6,log_cell1_0,-2.3632405288699174
cf_basic_K4_delay6,log_cell2_0,-1.9903614325158296
cf_basic_K4_delay6,log_cell3_0,-1.626087488060522
cf_basic_K4_delay6,log_cell4_0,-1.9621804625285726
cf_basic_K4_delay6,treatment_0,-0.3420369201220695
cf_basic_K4_delay6,FEV10_0,-0.2093447297353977
cf_basic_K4_delay6,log_cell1_1,0.5691391113668596
cf_basic_K4_delay6,log_cell2_1,1.6050612095958876
cf_basic_K4_delay6,log_cell3_1,1.3018782351004101
cf_basic_K4_delay6,log_cell4_1,0.16994260130876757
cf_basic_K4_delay6,treatment_1,0.05355485821394223
cf_basic_K4_delay6,FEV10_1,0.08772935478054912
cf_basic_K4_delay6,nu0,1.8680300110733272
cf_basic_K4_delay6,nu1,0.014191105774987323
cf_basic_K4_delay6,theta,-0.16281711051972494
cf_basic_K8_delay6,log_cell1_0,-2.466207133903513
cf_basic_K8_delay6,log_cell2_0,-2.2443775723833013
cf_basic_K8_delay6,log_cell3_0,-1.9680224840636664
cf_basic_K8_delay6,log_cell4_0,-1.9999810448147537
cf_basic_K8_delay6,log_cell5_0,-1.5872508244419257
cf_basic_K8_delay6,log_cell6_0,-1.6235852571345621
cf_basic_K8_delay6,log_cell7_0,-1.9653569314183181
cf_basic_K8_delay6,log_cell8_0,-1.8735285896014597
cf_basic_K8_delay6,treatment_0,-0.34627496508965205
cf_basic_K8_delay6,FEV10_0,-0.2111930413695323
cf_basic_K8_delay6,log_cell1_1,-0.3199245687017
cf_basic_K8_delay6,log_cell2_1,1.1800754312983002
cf_basic_K8_delay6,log_cell3_1,1.7665933068183666
cf_basic_K8_delay6,log_cell4_1,1.1408323479843412
cf_basic_K8_delay6,log_cell5_1,1.5043312564261413
cf_basic_K8_delay6,log_cell6_1,0.9054930089376017
cf_basic_K8_delay6,log_cell7_1,0.06539416024865938
cf_basic_K8_delay6,log_cell8_1,0.374443473821658
cf_basic_K8_delay6,treatment_1,0.037228511668866766
cf_basic_K8_delay6,FEV10_1,0.0998866029135894
cf_basic_K8_delay6,nu0,1.9660720540348797
cf_basic_K8_delay6,nu1,0.014750640795766006
cf_basic_K8_delay6,theta,-0.17029627901883929
cf_history_K4_delay6,log_cell1_0,-2.393550223139962
cf_history_K4_delay6,log_cell2_0,-2.0392471593372625
cf_history_K4_delay6,log_cell3_0,-1.7139414416518652
cf_history_K4_delay6,log_cell4_0,-2.0968611106908486
cf_history_K4_delay6,treatment_0,-0.32178420273507946
cf_history_K4_delay6,FEV10_0,-0.2018067677087724
cf_history_K4_delay6,previous2plus_0,0.2904802269010583
cf_history_K4_delay6,log_cell1_1,0.5714955120550617
cf_history_K4_delay6,log_cell2_1,1.6380490039547697
cf_history_K4_delay6,log_cell3_1,1.3658833384819564
cf_history_K4_delay6,log_cell4_1,0.28042811306649024
cf_history_K4_delay6,treatment_1,0.06679921559442746
cf_history_K4_delay6,FEV10_1,0.09782848150730489
cf_history_K4_delay6,previous2plus_1,0.5110321676399806
cf_history_K4_delay6,nu0,1.5525613090775336
cf_history_K4_delay6,nu1,0.024661817574201886
cf_history_K4_delay6,theta,-0.1956757107492757
cf_episode_K4_delay6,log_cell1_0,-2.3178274291315826
cf_episode_K4_delay6,log_cell2_0,-1.9560471879281107
cf_episode_K4_delay6,log_cell3_0,-1.61785852138987
cf_episode_K4_delay6,log_cell4_0,-1.9824682280007908
cf_episode_K4_delay6,treatment_episode1_0,-0.5584367115138831
cf_episode_K4_delay6,treatment_episode2_0,0.08666529222385146
cf_episode_K4_delay6,treatment_episode3plus_0,0.12736633235744968
cf_episode_K4_delay6,FEV10_episode1_0,-0.2701584606569622
cf_episode_K4_delay6,FEV10_episode2_0,-0.024731804334900125
cf_episode_K4_delay6,FEV10_episode3plus_0,-0.04310894889611125
cf_episode_K4_delay6,log_cell1_1,0.5578924299463478
cf_episode_K4_delay6,log_cell2_1,1.5978118697953938
cf_episode_K4_delay6,log_cell3_1,1.3101108318261798
cf_episode_K4_delay6,log_cell4_1,0.19895490544357938
cf_episode_K4_delay6,treatment_episode1_1,0.09458966897325431
cf_episode_K4_delay6,treatment_episode2_1,-0.11969371546441084
cf_episode_K4_delay6,treatment_episode3plus_1,0.07876113397790381
cf_episode_K4_delay6,FEV10_episode1_1,0.08964886494148086
cf_episode_K4_delay6,FEV10_episode2_1,0.06976033209732425
cf_episode_K4_delay6,FEV10_episode3plus_1,0.0001600290205183426
cf_episode_K4_delay6,nu0,1.540302830779375
cf_episode_K4_delay6,nu1,0.014785517273268108
cf_episode_K4_delay6,theta,-0.15091114640924377
cf_basic_K4_delay6.5,log_cell1_0,-2.361014182503213
cf_basic_K4_delay6.5,log_cell2_0,-1.9813457754516788
cf_basic_K4_delay6.5,log_cell3_0,-1.6098823088580019
cf_basic_K4_delay6.5,log_cell4_0,-1.9403482312356444
cf_basic_K4_delay6.5,treatment_0,-0.3441214168495135
cf_basic_K4_delay6.5,FEV10_0,-0.21065957824593468
cf_basic_K4_delay6.5,log_cell1_1,0.5686197113034411
cf_basic_K4_delay6.5,log_cell2_1,1.6042257535388975
cf_basic_K4_delay6.5,log_cell3_1,1.3002796447118492
cf_basic_K4_delay6.5,log_cell4_1,0.1681200564309763
cf_basic_K4_delay6.5,treatment_1,0.053467070385316666
cf_basic_K4_delay6.5,FEV10_1,0.08785619865958201
cf_basic_K4_delay6.5,nu0,1.9165380784170487
cf_basic_K4_delay6.5,nu1,0.013890339588190843
cf_basic_K4_delay6.5,theta,-0.16316054897833465
skin_baseline_K2_bcc_first_cap730.5,log_cell1_0,-1.2863577746579962
skin_baseline_K2_bcc_first_cap730.5,log_cell2_0,-1.3537726876017528
skin_baseline_K2_bcc_first_cap730.5,treatment_0,0.12459806476898856
skin_baseline_K2_bcc_first_cap730.5,baseline_Se20_0,0.06765427454820404
skin_baseline_K2_bcc_first_cap730.5,history_none_0,-1.266797605529489
skin_baseline_K2_bcc_first_cap730.5,history_SCC_only_0,-1.2170888108174642
skin_baseline_K2_bcc_first_cap730.5,history_both_0,-0.0593909430408285
skin_baseline_K2_bcc_first_cap730.5,AK_gt2_0,0.3222369566112472
skin_baseline_K2_bcc_first_cap730.5,age10_0,-0.049624925431094924
skin_baseline_K2_bcc_first_cap730.5,male_0,0.26160297521800857
skin_baseline_K2_bcc_first_cap730.5,drink_gt2_0,0.1488518203896129
skin_baseline_K2_bcc_first_cap730.5,sundamage_gt5_0,0.03805543615476771
skin_baseline_K2_bcc_first_cap730.5,log_cell1_1,-3.574639155277524
skin_baseline_K2_bcc_first_cap730.5,log_cell2_1,-3.7413750103182255
skin_baseline_K2_bcc_first_cap730.5,treatment_1,0.2459778807823306
skin_baseline_K2_bcc_first_cap730.5,baseline_Se20_1,-0.09557287183717403
skin_baseline_K2_bcc_first_cap730.5,history_none_1,0.07876100539169763
skin_baseline_K2_bcc_first_cap730.5,history_SCC_only_1,1.0089307198483817
skin_baseline_K2_bcc_first_cap730.5,history_both_1,0.7719077383388765
skin_baseline_K2_bcc_first_cap730.5,AK_gt2_1,0.5988646413033069
skin_baseline_K2_bcc_first_cap730.5,age10_1,0.15662504027630225
skin_baseline_K2_bcc_first_cap730.5,male_1,0.5646000422836529
skin_baseline_K2_bcc_first_cap730.5,drink_gt2_1,0.14752280965831724
skin_baseline_K2_bcc_first_cap730.5,sundamage_gt5_1,0.4876474960372125
skin_baseline_K2_bcc_first_cap730.5,sigma0,0.0
skin_baseline_K2_bcc_first_cap730.5,sigma1,0.0024772404913770457
skin_baseline_K2_bcc_first_cap730.5,nu0,0.9368413985452025
skin_baseline_K2_bcc_first_cap730.5,nu1,1.8958777220351573
skin_baseline_K2_bcc_first_cap730.5,theta,0.3037244851394213
skin_baseline_K4_bcc_first_cap730.5,log_cell1_0,-1.310755704329961
skin_baseline_K4_bcc_first_cap730.5,log_cell2_0,-1.2556140342789939
skin_baseline_K4_bcc_first_cap730.5,log_cell3_0,-1.3597298003397558
skin_baseline_K4_bcc_first_cap730.5,log_cell4_0,-1.3468328019108224
skin_baseline_K4_bcc_first_cap730.5,treatment_0,0.12542636911312707
skin_baseline_K4_bcc_first_cap730.5,baseline_Se20_0,0.06790892239320348
skin_baseline_K4_bcc_first_cap730.5,history_none_0,-1.2710029610030869
skin_baseline_K4_bcc_first_cap730.5,history_SCC_only_0,-1.2209215468918861
skin_baseline_K4_bcc_first_cap730.5,history_both_0,-0.05973604824625013
skin_baseline_K4_bcc_first_cap730.5,AK_gt2_0,0.32337804188885494
skin_baseline_K4_bcc_first_cap730.5,age10_0,-0.04995942803511956
skin_baseline_K4_bcc_first_cap730.5,male_0,0.2625211408663656
skin_baseline_K4_bcc_first_cap730.5,drink_gt2_0,0.14935533030153605
skin_baseline_K4_bcc_first_cap730.5,sundamage_gt5_0,0.03784055636610936
skin_baseline_K4_bcc_first_cap730.5,log_cell1_1,-3.590656824132755
skin_baseline_K4_bcc_first_cap730.5,log_cell2_1,-3.534949220515148
skin_baseline_K4_bcc_first_cap730.5,log_cell3_1,-3.5932107638124324
skin_baseline_K4_bcc_first_cap730.5,log_cell4_1,-3.955792588359341
skin_baseline_K4_bcc_first_cap730.5,treatment_1,0.24610662908098227
skin_baseline_K4_bcc_first_cap730.5,baseline_Se20_1,-0.09561023541622646
skin_baseline_K4_bcc_first_cap730.5,history_none_1,0.07753698407021803
skin_baseline_K4_bcc_first_cap730.5,history_SCC_only_1,1.0076970364653342
skin_baseline_K4_bcc_first_cap730.5,history_both_1,0.7681110418351583
skin_baseline_K4_bcc_first_cap730.5,AK_gt2_1,0.5991161154396569
skin_baseline_K4_bcc_first_cap730.5,age10_1,0.15564624060203558
skin_baseline_K4_bcc_first_cap730.5,male_1,0.562120316934143
skin_baseline_K4_bcc_first_cap730.5,drink_gt2_1,0.1468215232218239
skin_baseline_K4_bcc_first_cap730.5,sundamage_gt5_1,0.4878414296945185
skin_baseline_K4_bcc_first_cap730.5,sigma0,0.0
skin_baseline_K4_bcc_first_cap730.5,sigma1,0.0025626115432248542
skin_baseline_K4_bcc_first_cap730.5,nu0,0.9527906513482685
skin_baseline_K4_bcc_first_cap730.5,nu1,1.8781227152553626
skin_baseline_K4_bcc_first_cap730.5,theta,0.3058544361827489
skin_baseline_K8_bcc_first_cap730.5,log_cell1_0,-1.4561665964458748
skin_baseline_K8_bcc_first_cap730.5,log_cell2_0,-1.1566229511203598
skin_baseline_K8_bcc_first_cap730.5,log_cell3_0,-1.163121592788345
skin_baseline_K8_bcc_first_cap730.5,log_cell4_0,-1.3907201917770173
skin_baseline_K8_bcc_first_cap730.5,log_cell5_0,-1.3228351192156251
skin_baseline_K8_bcc_first_cap730.5,log_cell6_0,-1.4113139595157496
skin_baseline_K8_bcc_first_cap730.5,log_cell7_0,-1.4216192315536096
skin_baseline_K8_bcc_first_cap730.5,log_cell8_0,-1.2690334559788743
skin_baseline_K8_bcc_first_cap730.5,treatment_0,0.12776160492469033
skin_baseline_K8_bcc_first_cap730.5,baseline_Se20_0,0.06817276149272199
skin_baseline_K8_bcc_first_cap730.5,history_none_0,-1.276824415885623
