name,symmetric_min,symmetric_max,rank,clinic_zero,hazard_constraints,max_regression_covariance_sensitivity
cf_basic_K2_delay6,-0.04959058280180093,3.46860021664554,1,[],0,0.1418292007955195
cf_basic_K4_delay6,-0.04749132883792987,3.4704476512043794,1,[],0,0.2367670516986489
cf_basic_K8_delay6,-0.04056940330984998,3.373268093669242,1,[],1,0.2469322333582781
cf_history_K4_delay6,-0.05832331552581317,3.4022621527906125,1,[],0,2.604140154232687
cf_episode_K4_delay6,-0.04728102068655739,2.7455515395519985,1,[],0,1.9828644486468934
cf_basic_K4_delay6.5,-0.04752665060773005,3.4727135564441074,1,[],0,0.2369595388849845
skin_baseline_K2_bcc_first_cap730.5,-5.766325652337311,7427.116176825397,2,"[True, False]",0,6.908125655473887
skin_baseline_K4_bcc_first_cap730.5,-5.5635523894145305,7292.838852017273,2,"[True, False]",0,6.882034436290117
skin_baseline_K8_bcc_first_cap730.5,-5.433128955613636,7010.903811813943,2,"[True, False]",0,6.81560150421269
skin_baseline_K4_scc_first_cap730.5,-5.560019623335826,7288.765459132723,2,"[True, False]",0,6.880386279378757
skin_baseline_K4_bcc_first_cap1461,-37.52126600625308,6238.177296984544,2,"[False, True]",0,4.22100219397643
skin_measured_K2_bcc_first_cap730.5,-6.62427952856175,6629.686383286962,2,"[True, True]",0,6.77041782637717
skin_measured_K4_bcc_first_cap730.5,-6.349715277693722,6512.6792263752595,2,"[True, True]",0,6.745813837029489
skin_measured_K8_bcc_first_cap730.5,-6.183465557606199,6221.531905971111,2,"[True, True]",0,6.678457252883342
skin_measured_K4_scc_first_cap730.5,-6.346028901840635,6507.846702304047,2,"[True, True]",0,6.744025375165184
skin_measured_K4_bcc_first_cap1461,-30.132457168317526,7136.911002001519,2,"[False, True]",0,4.708760978268133
