coefficient,coupling_row_norm,estimate,name,reporting_multiplier,se_ambient,se_fixed_range,se_fixed_rank,sensitivity_0,sensitivity_1,sensitivity_2,sensitivity_3,sensitivity_4
treatment_0,0.018345139394117485,-0.3356885974225981,cf_basic_K2_delay6,1.0,0.1596069137909955,0.15930485181669796,0.15942749373629303,-0.017620536369976108,-0.0034176538799534193,-0.003792160252519636,,
FEV10_0,0.013344124982301349,-0.20270349611516292,cf_basic_K2_delay6,1.0,0.03596507011153614,0.0360138932512402,0.03598536948653385,-0.013308834845805265,9.444771672417842e-05,0.000965228583893021,,
treatment_1,0.13756284387165155,0.04411864923484342,cf_basic_K2_delay6,1.0,0.07431067420787403,0.07258014282320663,0.07280101803822861,0.0002840141617242839,0.10353869594117775,-0.09057148443529375,,
FEV10_1,0.1418292007955195,0.06055252499619276,cf_basic_K2_delay6,1.0,0.018000924712939872,0.016898686033194023,0.017127630057187686,-9.616520726865646e-05,0.02868884814459203,-0.13889731078276943,,
treatment_0,0.02307294394156863,-0.3420369201220695,cf_basic_K4_delay6,1.0,0.1690668535877499,0.1683094927021373,0.16890967710820898,-0.02045330223419652,-0.007251368102456261,-0.007838420152687669,,
FEV10_0,0.014763433448273904,-0.2093447297353977,cf_basic_K4_delay6,1.0,0.037740756990507274,0.038041325741341184,0.03778881874799741,-0.01444091849451687,0.001389287462329195,0.002736552678708771,,
treatment_1,0.2367670516986489,0.05355485821394223,cf_basic_K4_delay6,1.0,0.10220850925611501,0.10363090190637243,0.10404553155349199,0.00016477610896406197,0.22002871739208252,-0.08744125537582174,,
FEV10_1,0.21073725559682147,0.08772935478054912,cf_basic_K4_delay6,1.0,0.026134525327071303,0.027942456741015337,0.026003346438781116,-0.0008002915046849639,0.0929751985781357,-0.1891167969254551,,
treatment_0,0.02363487455236384,-0.34627496508965205,cf_basic_K8_delay6,1.0,0.17230013138716088,0.17143589009708973,0.1721379151240298,-0.021274773256914077,-0.007621151462334653,-0.006921659364706105,,
FEV10_0,0.014992262602507083,-0.2111930413695323,cf_basic_K8_delay6,1.0,0.03834085720064484,0.03870468686692383,0.03838732453173578,-0.014491850302935363,0.001019933174195223,0.003703234945290501,,
treatment_1,0.24620888685103431,0.037228511668866766,cf_basic_K8_delay6,1.0,0.10610564625245664,0.1067995097790901,0.10727752573345142,-0.0001381421670799064,0.23264263699613535,-0.08059900950167741,,
FEV10_1,0.2469322333582781,0.0998866029135894,cf_basic_K8_delay6,1.0,0.02782109069265262,0.03047948180405764,0.028025020621164194,-0.0008413419072331199,0.13241766731180177,-0.20842356248467503,,
treatment_0,0.039757946276530974,-0.32178420273507946,cf_history_K4_delay6,1.0,0.1622301477736033,0.1599409075146331,0.16125737354726952,-0.034585705842216374,-0.015081026190391277,-0.012533391104084144,,
FEV10_0,0.019572268600398884,-0.2018067677087724,cf_history_K4_delay6,1.0,0.03567826645089462,0.03641599407832812,0.03586851598103624,-0.019036852634269092,0.0017382944805554063,0.0042012227084686545,,
previous2plus_0,0.3213161584460928,0.2904802269010583,cf_history_K4_delay6,1.0,0.24398732609091686,0.2186573505759024,0.23167398508698558,-0.3198621185050365,0.002461993833359237,-0.030434148754139728,,
treatment_1,0.33548273777394305,0.06679921559442746,cf_history_K4_delay6,1.0,0.09964439211356295,0.10348274154576256,0.10394288711554568,-0.003582871027089607,0.30342746689529587,-0.1430650296648611,,
FEV10_1,0.2542919162547135,0.09782848150730489,cf_history_K4_delay6,1.0,0.026782456563426635,0.03036189648814497,0.026171520662870176,-0.0004962797086023587,0.07877941381211676,-0.24178076089375744,,
previous2plus_1,2.604140154232687,0.5110321676399806,cf_history_K4_delay6,1.0,0.30090139073510647,0.22288843441731349,0.18970722321050507,-0.05747260869052294,-0.7779677026212348,-2.484554104022609,,
treatment_episode1_0,0.03176182298428979,-0.5584367115138831,cf_episode_K4_delay6,1.0,0.17184605270653627,0.17184452181347115,0.17184144010876806,0.02311138029137744,-0.0018023191732807556,-0.021712419163011615,,
treatment_episode2_0,0.21587398756100573,0.08666529222385146,cf_episode_K4_delay6,1.0,0.24806423209455553,0.2414473856796957,0.24610891202625926,-0.21421687518157406,-0.02403343750420867,0.0116233719144865,,
treatment_episode3plus_0,0.2831163241901567,0.12736633235744968,cf_episode_K4_delay6,1.0,0.3953796688923397,0.39083044788438176,0.39411717129109064,-0.2821081638959943,0.023225106569143186,-0.0055164581960411106,,
FEV10_episode1_0,0.04213212435819514,-0.2701584606569622,cf_episode_K4_delay6,1.0,0.03556401044001827,0.03458694450363548,0.03521892142462975,-0.0419485235987872,-0.0005211936686834982,-0.003894307124012859,,
FEV10_episode2_0,0.010464262821895817,-0.024731804334900125,cf_episode_K4_delay6,1.0,0.0643315382426435,0.06432151083823465,0.06432782773878487,-0.007137312974530981,-0.0001795445764546246,0.007650315265031138,,
