case,stratum,method,parameter,attempted,accepted,stratum_n,valid,covered,coverage,coverage_mcse,bias,empirical_sd,mean_se,median_se,sd_mean_se_ratio,sd_median_se_ratio
cf_reference,all_accepted,ambient,FEV10_0,200,200,200,200,180,0.9,0.021213203435596423,-0.000594781114935771,0.02887365056684871,0.025264855061020736,0.02525574579060899,1.1428385596161885,1.1432507598957933
cf_reference,all_accepted,ambient,FEV10_1,200,200,200,200,190,0.95,0.015411035007422448,-0.0017378022691297195,0.02420474480872684,0.025374727383008243,0.025037104277056525,0.9538918169790914,0.9667549625899653
cf_reference,all_accepted,ambient,treatment_0,200,200,200,200,191,0.955,0.014658615214269054,-0.010397235927688977,0.11721808676104127,0.11995782179675672,0.11955896009317465,0.9771608470820906,0.9804207620214404
cf_reference,all_accepted,ambient,treatment_1,200,200,200,200,188,0.94,0.01679285562374667,-0.0051514919326164895,0.12169127681407829,0.1191466691151442,0.11794155702331799,1.021356935261656,1.0317930327986
cf_reference,all_accepted,fixed_range,FEV10_0,200,200,200,200,180,0.9,0.021213203435596423,-0.000594781114935771,0.02887365056684871,0.025254086903854285,0.025228327276239946,1.1433258575839464,1.144493261510918
cf_reference,all_accepted,fixed_range,FEV10_1,200,200,200,200,189,0.945,0.016120638945153514,-0.0017378022691297195,0.02420474480872684,0.02509496277020864,0.02490187792123516,0.9645260297999478,0.9720047976014757
cf_reference,all_accepted,fixed_range,treatment_0,200,200,200,200,191,0.955,0.014658615214269054,-0.010397235927688977,0.11721808676104127,0.11992648579881614,0.11952111288395809,0.9774161727517109,0.9807312192185426
cf_reference,all_accepted,fixed_range,treatment_1,200,200,200,200,188,0.94,0.01679285562374667,-0.0051514919326164895,0.12169127681407829,0.11836484698358256,0.11745987046572773,1.0281031903919675,1.0360242722180184
cf_reference,all_accepted,fixed_rank,FEV10_0,200,200,200,200,180,0.9,0.021213203435596423,-0.000594781114935771,0.02887365056684871,0.02526072266603691,0.02525493042443996,1.143025516275882,1.143287670232772
cf_reference,all_accepted,fixed_rank,FEV10_1,200,200,200,200,190,0.95,0.015411035007422448,-0.0017378022691297195,0.02420474480872684,0.025139014644491198,0.024996449193802627,0.9628358609525259,0.9683273260558913
cf_reference,all_accepted,fixed_rank,treatment_0,200,200,200,200,191,0.955,0.014658615214269054,-0.010397235927688977,0.11721808676104127,0.11994411994310074,0.11956725760865558,0.9772724733538197,0.9803527245284561
cf_reference,all_accepted,fixed_rank,treatment_1,200,200,200,200,188,0.94,0.01679285562374667,-0.0051514919326164895,0.12169127681407829,0.11845649608215936,0.11738343294751652,1.0273077529633778,1.036698908511969
cf_reference,interior,ambient,FEV10_0,200,200,100,100,89,0.89,0.031288975694324025,0.00037770446193958877,0.028905855667757444,0.0253576576083328,0.025292019523999384,1.1399260970484384,1.1428844438590173
cf_reference,interior,ambient,FEV10_1,200,200,100,100,95,0.95,0.021794494717703377,0.0006411321927880862,0.023971895916359315,0.02639519194874028,0.02595618394507864,0.9081917632163073,0.9235523976514447
