case,active_hazard,parameter,n,bias,rmse
cf_K8,False,treatment_0,83,0.0053208821065093975,0.11067887422433159
cf_K8,False,treatment_1,83,-0.002658611931266587,0.12853926949193456
cf_K8,False,nu0,83,-0.059325557571233846,0.15582436452502546
cf_K8,False,nu1,83,-0.024603876538940292,0.050919395900453204
cf_K8,False,theta,83,0.019985805906830738,0.06147164911529657
cf_K8,False,cumulative_relative_0,83,-0.008028284845115594,0.08925855941670584
cf_K8,False,cumulative_relative_1,83,-0.03207821234736334,0.1300634327248848
cf_K8,True,treatment_0,17,-0.05811417173688597,0.12346138647543269
cf_K8,True,treatment_1,17,-0.020355767079332416,0.10295078048727292
cf_K8,True,nu0,17,-0.020361997545932507,0.09357323115466562
cf_K8,True,nu1,17,-0.013351252865738608,0.06819248552463456
cf_K8,True,theta,17,0.010478250965517036,0.055158505960850014
cf_K8,True,cumulative_relative_0,17,0.039069193723013984,0.11387799726647423
cf_K8,True,cumulative_relative_1,17,-0.014735957442661226,0.1150433492248082
cf_n160,False,treatment_0,79,-0.0240232639436772,0.22794937697563078
cf_n160,False,treatment_1,79,0.042725030933694,0.2586946958980297
cf_n160,False,nu0,79,-0.03894131961957238,0.2533828900644144
cf_n160,False,nu1,79,0.041148184524198106,0.18137779336129678
cf_n160,False,theta,79,0.05305573054229537,0.1446977502736665
cf_n160,False,cumulative_relative_0,79,0.018062057645594758,0.20109763763312355
cf_n160,False,cumulative_relative_1,79,0.16355826854926253,0.48920649125538507
cf_n160,True,treatment_0,21,0.06347466142610057,0.24626554405887005
cf_n160,True,treatment_1,21,0.09613829578197491,0.3353515374055754
cf_n160,True,nu0,21,-0.05799529922058168,0.2455063494939224
cf_n160,True,nu1,21,-0.0001688671167179499,0.07454113147317253
cf_n160,True,theta,21,0.03220235609948674,0.12121903025008147
cf_n160,True,cumulative_relative_0,21,-0.044098144606935175,0.1545496197666646
cf_n160,True,cumulative_relative_1,21,-0.029381405784591003,0.24231055457772763
cf_zero_ending,False,treatment_0,98,-0.016114666333016458,0.10763336060200401
cf_zero_ending,False,treatment_1,98,0.0008829991088700419,0.12243546851288475
cf_zero_ending,False,nu0,98,-0.008672926684494271,0.13253703674461786
cf_zero_ending,False,nu1,98,0.029285481641744965,0.04679479740898016
cf_zero_ending,False,theta,98,0.012609113393807651,0.06626177030266048
cf_zero_ending,False,cumulative_relative_0,98,-0.02160626196916462,0.07824496992899994
cf_zero_ending,False,cumulative_relative_1,98,0.09419865881171323,0.18942361632667645
cf_zero_ending,True,treatment_0,2,0.11092031795251338,0.11498335266815245
cf_zero_ending,True,treatment_1,2,0.032648380468535805,0.03918607411253315
cf_zero_ending,True,nu0,2,-0.13611579502705654,0.14768671451084983
cf_zero_ending,True,nu1,2,0.012197252434453808,0.016622124785946674
cf_zero_ending,True,theta,2,-0.05026541700765654,0.06217541403051128
cf_zero_ending,True,cumulative_relative_0,2,-0.12790379515406658,0.12792801919355304
cf_zero_ending,True,cumulative_relative_1,2,0.002759802936236455,0.03226962570054741
