case,total,accepted,multiple_accepted_searches,any_interior,selected_interior,selected_boundary_with_interior,multiple_at_1e-08,multiple_at_1e-06,multiple_at_0.0001,exact_minimum_distance_ties,singular_residual,zero_clinic,active_hazard,max_candidate_coordinate_distance
cf_K2,100,100,0,58,58,0,0,0,0,0,42,0,0,0.0
cf_K8,100,100,0,34,34,0,0,0,0,0,60,0,17,0.0
cf_censor_uniform,100,100,0,49,49,0,0,0,0,0,51,0,0,0.0
cf_dynamic,100,100,0,45,45,0,0,0,0,0,55,0,0,0.0
cf_early,100,100,0,44,44,0,0,0,0,0,56,0,0,0.0
cf_flat,100,100,0,48,48,0,0,0,0,0,52,0,0,0.0
cf_law_alt,100,100,0,51,51,0,0,0,0,0,49,0,0,0.0
cf_long16,100,99,0,99,99,0,0,0,0,0,0,0,0,0.0
cf_long4,100,100,0,96,96,0,0,0,0,0,4,0,0,0.0
cf_monotone,100,100,0,50,50,0,0,0,0,0,50,0,0,0.0
cf_n160,100,100,0,25,25,0,0,0,0,0,71,0,21,0.0
cf_n2564,100,100,0,68,68,0,0,0,0,0,32,0,0,0.0
cf_near_rank,100,100,0,10,10,0,0,0,0,0,90,0,0,0.0
cf_rank_one,200,200,0,9,9,0,0,0,0,0,191,0,0,0.0
cf_reference,200,200,0,100,100,0,0,0,0,0,100,0,0,0.0
cf_zero_ending,100,100,0,37,37,0,0,0,0,0,63,0,2,0.0
growth_m128,200,200,1,199,199,0,0,0,0,0,0,1,0,1.715294573045867e-14
growth_m32,100,100,23,77,77,0,0,0,0,0,0,23,0,3.497202527569243e-15
growth_m64,100,100,5,95,95,0,0,0,0,0,0,5,0,5.329070518200751e-15
informative_reference,200,200,12,188,188,0,0,0,0,0,0,12,0,2.9698465908722937e-15
skin_K2,100,100,81,10,10,0,0,0,0,0,0,90,0,2.7267077484793845e-13
skin_K8,100,100,82,11,11,0,0,0,0,0,0,89,0,4.106714968088454e-13
skin_censor_adaptive,100,100,86,14,14,0,0,0,0,0,0,86,0,1.9051427102567686e-13
skin_censor_uniform,100,100,75,20,20,0,0,0,0,0,0,80,0,2.7844393457598926e-13
skin_clinics28,100,100,66,34,34,0,0,0,0,0,0,66,0,2.6001423236721166e-13
skin_dynamic,100,100,79,13,13,0,0,0,0,0,0,87,0,2.233768725545815e-13
skin_flat,100,100,83,14,14,0,0,0,0,0,0,86,0,2.7067237340361316e-13
skin_law_alt,100,100,83,9,9,0,0,0,0,0,0,91,0,9.237055564881302e-13
skin_law_mixture,100,100,79,16,16,0,0,0,0,1,0,84,0,5.471179065352771e-13
skin_long4,100,99,57,21,21,0,0,0,0,1,0,78,0,1.4477308241112041e-13
skin_moderate_clinics,100,99,35,61,61,0,0,0,0,0,0,38,0,4.4009240696141205e-13
skin_patients_fourfold,100,100,50,44,44,0,0,0,0,0,0,56,0,1.092681500836079e-12
skin_patients_quarter,100,100,84,9,9,0,0,0,0,0,1,91,0,3.099742684753437e-13
skin_reference,200,200,157,31,31,0,0,0,0,0,0,169,0,2.5979218776228663e-13
skin_rich_design,100,98,85,12,12,0,0,0,0,0,0,86,0,1.9273471707492718e-12
skin_zero_clinics,200,200,170,17,17,0,0,0,0,0,0,183,0,2.9309887850104133e-13
