case,method,parameter,total,eligible,valid_intervals,covered,coverage,coverage_mcse,bias,empirical_sd,median_se
cf_reference,initial,FEV10_0,200,200,200,180,0.9,0.021213203435596423,-0.01245296626768471,0.030680231841903275,0.02660082908006174
cf_reference,initial,FEV10_1,200,200,200,181,0.905,0.02073342711661533,0.02378734773962762,0.03171357393991629,0.032464076789456675
cf_reference,initial,cumulative_relative_0,200,200,200,177,0.885,0.022558257911461158,0.08811925880525795,0.10743170502610509,0.10066834647411188
cf_reference,initial,cumulative_relative_1,200,200,200,1,0.005,0.004987484335815001,2.3316014088024195,0.8386111458619275,0.7520942700326685
cf_reference,initial,treatment_0,200,200,200,193,0.965,0.012995191418367032,-0.03286761962405896,0.12446416631219258,0.12681599058329707
cf_reference,initial,treatment_1,200,200,200,190,0.95,0.015411035007422448,0.039690020798475334,0.15901654195589346,0.15827039687355543
cf_reference,coupled,FEV10_0,200,100,100,89,0.89,0.031288975694324025,0.00037770446193958877,0.028905855667757444,0.025292019523999378
cf_reference,coupled,FEV10_1,200,100,100,95,0.95,0.021794494717703377,0.0006411321927880862,0.023971895916359315,0.025956183945078634
cf_reference,coupled,cumulative_relative_0,200,100,100,95,0.95,0.021794494717703377,-0.00442875407395417,0.08367493489930858,0.08478168333965726
cf_reference,coupled,cumulative_relative_1,200,100,100,92,0.92,0.027129319932501065,-0.023652422144829145,0.1315533416666289,0.140392074816306
cf_reference,coupled,nu0,200,100,100,94,0.94,0.023748684174075843,-0.04400634679579908,0.12015388496591717,0.13025544163370623
cf_reference,coupled,nu1,200,100,100,100,1.0,0.0,0.00824306103990636,0.05705467438937482,0.07857708154545251
cf_reference,coupled,theta,200,100,100,96,0.96,0.019595917942265433,0.06559042007601945,0.06098610115133676,0.0820476137596787
cf_reference,coupled,treatment_0,200,100,100,95,0.95,0.021794494717703377,-0.01432254327060811,0.12097092827747312,0.1205568141045798
cf_reference,coupled,treatment_1,200,100,100,95,0.95,0.021794494717703377,-0.0008757055765638644,0.12500107078753253,0.12181067823111406
skin_reference,initial,age10_0,200,200,200,171,0.855,0.02489728900904675,-0.00499800962045151,0.030397400272822856,0.024144528744247513
skin_reference,initial,age10_1,200,200,200,167,0.835,0.02624642832844119,-0.014425437407530202,0.05112885279071023,0.041819824150874374
skin_reference,initial,cumulative_relative_0,200,200,200,45,0.225,0.029527529527544293,0.14243731786246216,0.0535922550115329,0.046257176169627795
skin_reference,initial,cumulative_relative_1,200,200,200,39,0.195,0.028015620642777128,0.24682296234825782,0.1017854414155033,0.0810486787702322
skin_reference,initial,treatment_0,200,200,200,179,0.895,0.021676600286945368,0.00428494041928515,0.058109896525395194,0.05134785618686567
skin_reference,initial,treatment_1,200,200,200,173,0.865,0.024163505540380516,0.010739172580759827,0.10108000529428152,0.0834231582034286
skin_reference,coupled,age10_0,200,31,31,28,0.9032258064516129,0.0531003155969743,-0.010336722576874216,0.028583543406676043,0.024128879416090862
skin_reference,coupled,age10_1,200,31,31,27,0.8709677419354839,0.06021009840370212,-0.013154944595224463,0.05032454682830248,0.03833556234135968
skin_reference,coupled,cumulative_relative_0,200,31,31,3,0.0967741935483871,0.05310031559697429,0.2174552990311008,0.055494866914280606,0.05643154506454109
skin_reference,coupled,cumulative_relative_1,200,31,31,8,0.25806451612903225,0.07858983387512676,0.2771680371539143,0.09726239085209558,0.10260525476988107
skin_reference,coupled,nu0,200,31,31,1,0.03225806451612903,0.0317335081830945,-0.5121093739838577,0.09037289468572163,0.06850038980445465
skin_reference,coupled,nu1,200,31,31,5,0.16129032258064516,0.06605856502852811,-0.7443816340403305,0.2514263020772954,0.19866141158215653
skin_reference,coupled,sigma0,200,31,31,31,1.0,0.0,0.001512575298068479,0.0035351186027513712,0.003288492213738954
skin_reference,coupled,sigma1,200,31,31,31,1.0,0.0,0.0045379424777936515,0.007995155648856984,0.009848335476381725
skin_reference,coupled,theta,200,31,31,18,0.5806451612903226,0.08862686513992751,-0.12864401862856017,0.06232093316796861,0.06604731040612372
skin_reference,coupled,treatment_0,200,31,31,28,0.9032258064516129,0.0531003155969743,0.005688846719849404,0.05793757072578456,0.044450605228074244
skin_reference,coupled,treatment_1,200,31,31,30,0.967741935483871,0.031733508183094485,-0.006900999271055172,0.0821485621125425,0.08343163675614744
growth_m32,initial,cumulative_relative_0,100,100,100,94,0.94,0.023748684174075843,0.014222113913787764,0.057163238536593976,0.05758638119142321
growth_m32,initial,cumulative_relative_1,100,100,100,98,0.98,0.014000000000000005,0.01506050222045387,0.053356524590184064,0.05817091130835424
growth_m32,initial,early2_0,100,100,100,95,0.95,0.021794494717703377,0.03257678957364571,0.07609142260953324,0.07891117033298524
growth_m32,initial,early2_1,100,100,100,89,0.89,0.031288975694324025,0.03392697250467924,0.08104878662396568,0.0766896410956132
growth_m32,initial,measured_z_0,100,100,100,96,0.96,0.019595917942265433,0.0034683548875526003,0.021319208458786553,0.02171206843709792
growth_m32,initial,measured_z_1,100,100,100,94,0.94,0.023748684174075843,-0.0010023889256766028,0.019477941910702425,0.018031412392321214
growth_m32,initial,static_x_0,100,100,100,95,0.95,0.021794494717703377,0.0014881871353632893,0.045733261574067874,0.042794404663248006
growth_m32,initial,static_x_1,100,100,100,92,0.92,0.027129319932501065,-0.009630100918919589,0.047363317706421285,0.04438753973442859
growth_m32,coupled,cumulative_relative_0,100,77,77,72,0.935064935064935,0.02808116766843301,0.011417924460978746,0.05375382627780524,0.05556640129803234
growth_m32,coupled,cumulative_relative_1,100,77,77,76,0.987012987012987,0.012902406138576678,0.0044413261455470004,0.05236355076965977,0.057480641309311534
growth_m32,coupled,early2_0,100,77,77,70,0.9090909090909091,0.032761362279838516,-0.02739715639923326,0.07184754631952592,0.07867576988883558
growth_m32,coupled,early2_1,100,77,77,72,0.935064935064935,0.02808116766843301,0.007428521731513595,0.08005343729876112,0.07542632759655485
growth_m32,coupled,measured_z_0,100,77,77,73,0.948051948051948,0.025290379015316666,-0.005770890729791455,0.020123939770645024,0.021056466379166094
growth_m32,coupled,measured_z_1,100,77,77,73,0.948051948051948,0.025290379015316666,0.005034622105775042,0.01823588404077457,0.01785779242995174
growth_m32,coupled,nu0,100,77,77,73,0.948051948051948,0.025290379015316666,-0.00457369257173228,0.01923931858777387,0.020793762146443778
growth_m32,coupled,nu1,100,77,77,74,0.961038961038961,0.022051614896282903,-0.003606154224962602,0.023734228037957956,0.024502626819931927
growth_m32,coupled,sigma0,100,77,77,70,0.9090909090909091,0.032761362279838516,-0.00038929694472417115,0.020616145962993344,0.01958863164430944
growth_m32,coupled,sigma1,100,77,77,73,0.948051948051948,0.025290379015316666,0.005473461447806666,0.0197997799445027,0.020451855295404768
growth_m32,coupled,static_x_0,100,77,77,73,0.948051948051948,0.025290379015316666,-0.010262619475882025,0.04003289576174903,0.0394770427172228
growth_m32,coupled,static_x_1,100,77,77,69,0.8961038961038961,0.03477230266109402,-0.0007771288006129512,0.04761623301067723,0.04234462376992912
growth_m32,coupled,theta,100,77,77,71,0.922077922077922,0.03054701033140231,0.0007375821100423033,0.01850701076372008,0.01697479984381368
growth_m64,initial,cumulative_relative_0,100,100,100,92,0.92,0.027129319932501065,-0.0004269370719852339,0.0392213898776791,0.03585871151505396
growth_m64,initial,cumulative_relative_1,100,100,100,93,0.93,0.02551470164434614,0.0030326991385334055,0.034003197047835027,0.034817368037426605
growth_m64,initial,early2_0,100,100,100,94,0.94,0.023748684174075843,0.00038678392419874333,0.05564354898132169,0.05330832383425562
growth_m64,initial,early2_1,100,100,100,92,0.92,0.027129319932501065,0.0034142081763514666,0.06124454290123978,0.0541447472113661
growth_m64,initial,measured_z_0,100,100,100,96,0.96,0.019595917942265433,0.0009409635633474878,0.00774361594669695,0.00743615582364497
growth_m64,initial,measured_z_1,100,100,100,95,0.95,0.021794494717703377,-0.000582575006349787,0.006453932068770413,0.005908421057013252
growth_m64,initial,static_x_0,100,100,100,95,0.95,0.021794494717703377,-0.0014505496236354146,0.027870045086411742,0.027450332260525755
growth_m64,initial,static_x_1,100,100,100,91,0.91,0.028618176042508364,0.0038504931992444057,0.03154057883636844,0.029219544983454575
growth_m64,coupled,cumulative_relative_0,100,95,95,87,0.9157894736842105,0.028491755700166512,-0.0009259811146331646,0.03895576739162228,0.03506716009922902
growth_m64,coupled,cumulative_relative_1,100,95,95,89,0.9368421052631579,0.024956588639444346,0.0010534987502945586,0.033095945486946346,0.03440135230504932
growth_m64,coupled,early2_0,100,95,95,89,0.9368421052631579,0.024956588639444346,-0.014309764657738186,0.05491302595044991,0.052920403820766015
growth_m64,coupled,early2_1,100,95,95,86,0.9052631578947369,0.03004588996381606,-0.0033904195992287586,0.06173954057298203,0.053820112022954725
growth_m64,coupled,measured_z_0,100,95,95,90,0.9473684210526315,0.022909776319263535,-0.0010370700333781706,0.007655769322414714,0.007374557972074735
growth_m64,coupled,measured_z_1,100,95,95,90,0.9473684210526315,0.022909776319263535,0.0006650175126130134,0.0063603955589330505,0.00587920828377556
growth_m64,coupled,nu0,100,95,95,86,0.9052631578947369,0.03004588996381606,-0.0010995779340687857,0.011348802149474592,0.010819380701347595
growth_m64,coupled,nu1,100,95,95,93,0.9789473684210527,0.014728925455696257,-0.0008854356538068769,0.012819641222496058,0.014103683270272773
growth_m64,coupled,sigma0,100,95,95,93,0.9789473684210527,0.014728925455696257,-0.001925532462894403,0.010083833033864752,0.01187688956304303
growth_m64,coupled,sigma1,100,95,95,90,0.9473684210526315,0.022909776319263535,-0.0014981450987815678,0.011928818750631414,0.012651314638906916
growth_m64,coupled,static_x_0,100,95,95,87,0.9157894736842105,0.028491755700166512,-0.003831882653372612,0.02750492573715178,0.025544504528459758
growth_m64,coupled,static_x_1,100,95,95,86,0.9052631578947369,0.03004588996381606,0.005109670549683751,0.03318039472896268,0.02861340130557413
growth_m64,coupled,theta,100,95,95,86,0.9052631578947369,0.03004588996381606,0.0009687278487486448,0.012349764397797223,0.01029786690439004
growth_m128,initial,cumulative_relative_0,200,200,200,189,0.945,0.016120638945153514,-0.0013789856894088177,0.025465522685403683,0.02446334086284986
growth_m128,initial,cumulative_relative_1,200,200,200,181,0.905,0.02073342711661533,0.001773218299397561,0.02575189004806523,0.02379184457329161
growth_m128,initial,early2_0,200,200,200,190,0.95,0.015411035007422448,0.00407489937111224,0.03820120117048848,0.03734866523873233
growth_m128,initial,early2_1,200,200,200,189,0.945,0.016120638945153514,0.0037846554542844356,0.038166321002968816,0.03868883339128294
growth_m128,initial,measured_z_0,200,200,200,191,0.955,0.014658615214269054,0.00021205857681905194,0.0027079785252155544,0.002625069688602698
growth_m128,initial,measured_z_1,200,200,200,185,0.925,0.01862458053218917,-0.0002814637162439995,0.002261626644358163,0.002080314767400668
growth_m128,initial,static_x_0,200,200,200,192,0.96,0.013856406460551024,0.000667400130311057,0.019034856907459728,0.019317284283247728
growth_m128,initial,static_x_1,200,200,200,185,0.925,0.01862458053218917,-0.0019263539214999957,0.021322882353161595,0.02063923143077609
growth_m128,coupled,cumulative_relative_0,200,199,199,188,0.9447236180904522,0.0161992777791331,-0.0018966946867145363,0.02497424253032382,0.02430033934472109
growth_m128,coupled,cumulative_relative_1,200,199,199,181,0.9095477386934674,0.020332740848379827,0.0008334475899564126,0.0256087697578035,0.023698658505901513
growth_m128,coupled,early2_0,200,199,199,189,0.949748743718593,0.015486429060404846,0.0004855631879222547,0.0379128419487312,0.03726297482210852
growth_m128,coupled,early2_1,200,199,199,188,0.9447236180904522,0.0161992777791331,0.0019599796991704235,0.038155054425356924,0.03863265413921685
growth_m128,coupled,measured_z_0,200,199,199,189,0.949748743718593,0.015486429060404846,-0.00033122776827171157,0.002700959087459014,0.0026269365383875796
growth_m128,coupled,measured_z_1,200,199,199,186,0.9346733668341709,0.01751654840903486,5.721355454942214e-05,0.0022682021343877865,0.002081025800953571
growth_m128,coupled,nu0,200,199,199,188,0.9447236180904522,0.0161992777791331,0.0007966088216457428,0.006989017395078513,0.006802979176460324
growth_m128,coupled,nu1,200,199,199,186,0.9346733668341709,0.01751654840903486,1.38479649724672e-05,0.009509557713218543,0.00945501086117573
growth_m128,coupled,sigma0,200,199,199,183,0.9195979899497487,0.01927551195054051,-0.0011113939885936,0.008550131326956142,0.008277992904011546
growth_m128,coupled,sigma1,200,199,199,188,0.9447236180904522,0.0161992777791331,-0.00013135909492701165,0.00899386549035287,0.008901808048679979
growth_m128,coupled,static_x_0,200,199,199,188,0.9447236180904522,0.0161992777791331,0.0005896156731473054,0.017010856832346804,0.01803147156469024
growth_m128,coupled,static_x_1,200,199,199,185,0.9296482412060302,0.018128850494282443,-0.0014398294973981673,0.02146866654338885,0.02015003651976326
growth_m128,coupled,theta,200,199,199,187,0.9396984924623115,0.01687453490538981,-0.0001582459092804356,0.008042876088670001,0.007163693177558685
