family,comparison,method,parameter,n,risk_difference,MCSE
cf,K2 - K4,fallback,treatment_0,100,-0.00037353584759331024,0.00011943419324849083
cf,K2 - K4,fallback,FEV10_0,100,-1.6550440683026833e-05,1.4039619087700711e-05
cf,K2 - K4,fallback,treatment_1,100,0.00021628778781603402,0.00015218867333262258
cf,K2 - K4,fallback,FEV10_1,100,-4.365558004836598e-06,1.4655411885706188e-05
cf,K2 - K4,fallback,nu0,100,8.762586992262806e-05,0.0009441177382924009
cf,K2 - K4,fallback,nu1,100,-0.0003881602031802844,0.0003220999855962932
cf,K2 - K4,fallback,theta,100,0.00015957677527225436,7.87693226711481e-05
cf,K2 - K4,fallback,cumulative_relative_0,100,-0.0005497054527736273,0.0003619996936335905
cf,K2 - K4,fallback,cumulative_relative_1,100,0.004056745938277537,0.002496847641194096
cf,K2 - K4,fallback,baseline_relative_ISE_0,100,0.0044398470957182105,0.0010483187629235125
cf,K2 - K4,fallback,baseline_relative_ISE_1,100,-0.010352460718821718,0.003832792054404275
cf,K2 - K4,fallback,prediction_mse,100,-4.3148334973508174e-05,0.00020873841545373273
cf,K2 - K4,fallback,negative_prediction_fraction,100,0.0,0.0
cf,K2 - K4,coupled,treatment_0,100,-0.00037353584759331024,0.00011943419324849083
cf,K2 - K4,coupled,FEV10_0,100,-1.6550440683026833e-05,1.4039619087700711e-05
cf,K2 - K4,coupled,treatment_1,100,0.00021628778781603402,0.00015218867333262258
cf,K2 - K4,coupled,FEV10_1,100,-4.365558004836598e-06,1.4655411885706188e-05
cf,K2 - K4,coupled,nu0,100,8.762586992262806e-05,0.0009441177382924009
cf,K2 - K4,coupled,nu1,100,-0.0003881602031802844,0.0003220999855962932
cf,K2 - K4,coupled,theta,100,0.00015957677527225436,7.87693226711481e-05
cf,K2 - K4,coupled,cumulative_relative_0,100,-0.0005497054527736273,0.0003619996936335905
cf,K2 - K4,coupled,cumulative_relative_1,100,0.004056745938277537,0.002496847641194096
cf,K2 - K4,coupled,baseline_relative_ISE_0,100,0.0044398470957182105,0.0010483187629235125
cf,K2 - K4,coupled,baseline_relative_ISE_1,100,-0.010352460718821718,0.003832792054404275
cf,K2 - K4,coupled,prediction_mse,100,-4.3148334973508174e-05,0.00020873841545373273
cf,K2 - K4,coupled,negative_prediction_fraction,100,0.0,0.0
cf,K8 - K4,fallback,treatment_0,100,7.128725192800793e-05,6.373214651254148e-05
cf,K8 - K4,fallback,FEV10_0,100,1.0679159281037157e-06,8.731844986660042e-06
cf,K8 - K4,fallback,treatment_1,100,-3.824536817947922e-05,0.00016322880697035373
cf,K8 - K4,fallback,FEV10_1,100,7.162793918756853e-06,1.2735289219982229e-05
cf,K8 - K4,fallback,nu0,100,0.0003951215480889491,0.000496014536981238
cf,K8 - K4,fallback,nu1,100,0.0002626839230358548,0.00021157334480694266
cf,K8 - K4,fallback,theta,100,4.663154494736304e-05,6.529360806957297e-05
cf,K8 - K4,fallback,cumulative_relative_0,100,0.0003619050337706051,0.0001664513353023938
cf,K8 - K4,fallback,cumulative_relative_1,100,0.0024175647165080648,0.001012623709381712
cf,K8 - K4,fallback,baseline_relative_ISE_0,100,0.011109804541404929,0.0011674105316525196
cf,K8 - K4,fallback,baseline_relative_ISE_1,100,0.02965813233927433,0.003485561528923803
cf,K8 - K4,fallback,prediction_mse,100,0.0002071767913476774,0.00010642422455786771
cf,K8 - K4,fallback,negative_prediction_fraction,100,0.0,0.0
cf,K8 - K4,coupled,treatment_0,100,7.128725192800793e-05,6.373214651254148e-05
cf,K8 - K4,coupled,FEV10_0,100,1.0679159281037157e-06,8.731844986660042e-06
cf,K8 - K4,coupled,treatment_1,100,-3.824536817947922e-05,0.00016322880697035373
cf,K8 - K4,coupled,FEV10_1,100,7.162793918756853e-06,1.2735289219982229e-05
cf,K8 - K4,coupled,nu0,100,0.0003951215480889491,0.000496014536981238
cf,K8 - K4,coupled,nu1,100,0.0002626839230358548,0.00021157334480694266
cf,K8 - K4,coupled,theta,100,4.663154494736304e-05,6.529360806957297e-05
