case,comparison,parameter,n,risk_difference,MCSE
cf_reference,coupled - initial,treatment_0,200,-0.002714670492526584,0.00045496716117532506
cf_reference,coupled - initial,FEV10_0,200,-0.0002617735884617795,5.740802423899271e-05
cf_reference,coupled - initial,treatment_1,200,-0.011973866176006535,0.0018685826462298378
cf_reference,coupled - initial,FEV10_1,200,-0.000980599651042389,0.00012845233418940392
cf_reference,coupled - initial,nu0,200,0.007226889095006461,0.0016983898864315473
cf_reference,coupled - initial,nu1,200,0.00031738388423274575,0.0003107001343736183
cf_reference,coupled - initial,theta,200,0.004477595735456145,0.0005580245035572217
cf_reference,coupled - initial,cumulative_relative_0,200,-0.010861174634966796,0.0015635611886642648
cf_reference,coupled - initial,cumulative_relative_1,200,-6.119588176403654,0.328660833057185
cf_reference,coupled - initial,baseline_relative_ISE_0,200,-0.02665851232232452,0.0022844018784466532
cf_reference,coupled - initial,baseline_relative_ISE_1,200,-8.91180139321067,0.5505618112602623
cf_reference,coupled - initial,prediction_mse,200,-0.0732948520830341,0.0007799355979547178
cf_reference,coupled - initial,negative_prediction_fraction,200,0.0,0.0
cf_reference,coupled - projected_initial,treatment_0,200,-0.002714670492526584,0.00045496716117532506
cf_reference,coupled - projected_initial,FEV10_0,200,-0.0002617735884617795,5.740802423899271e-05
cf_reference,coupled - projected_initial,treatment_1,200,-0.011973866176006535,0.0018685826462298378
cf_reference,coupled - projected_initial,FEV10_1,200,-0.000980599651042389,0.00012845233418940392
cf_reference,coupled - projected_initial,nu0,200,0.007226889095006459,0.0016983898864315473
cf_reference,coupled - projected_initial,nu1,200,0.0003173838842327456,0.0003107001343736183
cf_reference,coupled - projected_initial,theta,200,0.004477595735456145,0.0005580245035572217
cf_reference,coupled - projected_initial,cumulative_relative_0,200,-0.010861174634966796,0.0015635611886642648
cf_reference,coupled - projected_initial,cumulative_relative_1,200,-6.119588176403654,0.328660833057185
cf_reference,coupled - projected_initial,baseline_relative_ISE_0,200,-0.02665851232232452,0.0022844018784466532
cf_reference,coupled - projected_initial,baseline_relative_ISE_1,200,-8.91180139321067,0.5505618112602623
cf_reference,coupled - projected_initial,prediction_mse,200,-0.0732948520830341,0.0007799355979547178
cf_reference,coupled - projected_initial,negative_prediction_fraction,200,0.0,0.0
cf_reference,fallback - projected_initial,treatment_0,200,-0.002714670492526584,0.00045496716117532506
cf_reference,fallback - projected_initial,FEV10_0,200,-0.0002617735884617795,5.740802423899271e-05
cf_reference,fallback - projected_initial,treatment_1,200,-0.011973866176006535,0.0018685826462298378
cf_reference,fallback - projected_initial,FEV10_1,200,-0.000980599651042389,0.00012845233418940392
cf_reference,fallback - projected_initial,nu0,200,0.007226889095006459,0.0016983898864315473
cf_reference,fallback - projected_initial,nu1,200,0.0003173838842327456,0.0003107001343736183
cf_reference,fallback - projected_initial,theta,200,0.004477595735456145,0.0005580245035572217
cf_reference,fallback - projected_initial,cumulative_relative_0,200,-0.010861174634966796,0.0015635611886642648
cf_reference,fallback - projected_initial,cumulative_relative_1,200,-6.119588176403654,0.328660833057185
cf_reference,fallback - projected_initial,baseline_relative_ISE_0,200,-0.02665851232232452,0.0022844018784466532
cf_reference,fallback - projected_initial,baseline_relative_ISE_1,200,-8.91180139321067,0.5505618112602623
cf_reference,fallback - projected_initial,prediction_mse,200,-0.0732948520830341,0.0007799355979547178
cf_reference,fallback - projected_initial,negative_prediction_fraction,200,0.0,0.0
cf_n160,coupled - initial,treatment_0,100,-0.008823896004530426,0.0018773246053176613
cf_n160,coupled - initial,FEV10_0,100,-0.000339145395711249,0.00015642245918843294
cf_n160,coupled - initial,treatment_1,100,-0.04152458250786441,0.009780382951969492
cf_n160,coupled - initial,FEV10_1,100,-0.002025175999863596,0.000457430467513238
cf_n160,coupled - initial,nu0,100,0.04872407492590868,0.011244717594412961
cf_n160,coupled - initial,nu1,100,0.02452457994456875,0.013509398806419843
cf_n160,coupled - initial,theta,100,0.01922137991575117,0.004357391198073
cf_n160,coupled - initial,cumulative_relative_0,100,-0.023627943450304067,0.005599515446865291
cf_n160,coupled - initial,cumulative_relative_1,100,-18.29399637427998,4.801905254702285
cf_n160,coupled - initial,baseline_relative_ISE_0,100,-0.05295524515758102,0.009352626293288294
cf_n160,coupled - initial,baseline_relative_ISE_1,100,-44.04486312962175,15.038057685219803
cf_n160,coupled - initial,prediction_mse,100,-0.059031016386786775,0.003048361187516817
cf_n160,coupled - initial,negative_prediction_fraction,100,0.0,0.0
cf_n160,coupled - projected_initial,treatment_0,100,-0.008823896004530426,0.0018773246053176613
cf_n160,coupled - projected_initial,FEV10_0,100,-0.000339145395711249,0.00015642245918843294
cf_n160,coupled - projected_initial,treatment_1,100,-0.04152458250786441,0.009780382951969492
cf_n160,coupled - projected_initial,FEV10_1,100,-0.002025175999863596,0.000457430467513238
cf_n160,coupled - projected_initial,nu0,100,0.04872407492590868,0.011244717594412961
cf_n160,coupled - projected_initial,nu1,100,0.02452457994456875,0.013509398806419843
cf_n160,coupled - projected_initial,theta,100,0.01922137991575117,0.004357391198073
cf_n160,coupled - projected_initial,cumulative_relative_0,100,-0.023627943450304067,0.005599515446865291
cf_n160,coupled - projected_initial,cumulative_relative_1,100,-18.29399637427998,4.801905254702285
